population,gdp,biofuel_consumption,coal_production,fossil_electricity,gas_production,hydro_electricity,nuclear_consumption,oil_production,other_renewable_electricity,solar_electricity,primary_energy_consumption,is_outlier
-0.1774771330323401,-0.1078010903395316,-0.1530233406993947,-0.2129922673642369,-0.1866933095809178,-0.2261359423852773,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.337186813354492,0
-0.1798375458694631,-0.1077055625738294,-0.1530233406993947,-0.2129827134790446,-0.1866933095809178,-0.2239351646650866,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,7.289555549621582,0
-0.1816508022070792,-0.1076041131451531,-0.1530233406993947,-0.2129508672986051,-0.1866933095809178,-0.2237035038524349,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,7.889243602752686,0
-0.1817914522863425,-0.1073694862489055,-0.1530233406993947,-0.2129508672986051,-0.1866933095809178,-0.2232401815077686,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,9.882159233093262,0
-0.1812697525025918,-0.107273561243106,-0.1530233406993947,-0.212946090356009,-0.1866933095809178,-0.2232401815077686,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,9.92987823486328,0
-0.1808162822361391,-0.107262562355139,-0.1530233406993947,-0.2129413134134129,-0.1866933095809178,-0.2209235726618889,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,9.629764556884766,0
-0.1808292769658548,-0.1071012247429607,-0.1530233406993947,-0.2129269826019721,-0.1866933095809178,-0.2209235726618889,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,9.992568016052246,0
-0.1808910828975449,-0.1076554618776623,-0.1530233406993947,-0.2129158364461746,-0.1866933095809178,-0.2216185550998439,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,16.93012237548828,0
-0.1806314623404451,-0.1080526253729672,-0.1530233406993947,-0.2129620134544025,-0.1866933095809178,-0.2208077422555631,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,31.0885009765625,0
-0.1799592279742792,-0.1083582979945031,-0.1530233406993947,-0.2129795289051392,-0.1866933095809178,-0.2210394037875779,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,30.50859451293945,0
-0.1796304312258687,-0.1084865269162289,-0.1530233406993947,-0.2130145597575696,-0.1866933095809178,-0.2210391160423411,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,30.19687271118164,0
-0.179260164789942,-0.1087949396929919,-0.1530233406993947,-0.2130320751429159,-0.1866933095809178,-0.2318116333742874,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,12.49681568145752,0
-0.1772669675688508,-0.1086041379535016,-0.1530233406993947,-0.2131690138796252,-0.1866933095809178,-0.2318586026587241,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,8.207145690917969,0
-0.1740778029566944,-0.1094649128305468,-0.1530233406993947,-0.2131706062452507,-0.1866933095809178,-0.2318586026587241,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,8.155349731445312,0
-0.1715719434308879,-0.1100446429359909,-0.1530233406993947,-0.2131721985301599,-0.1866933095809178,-0.2318591239272046,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,7.871011734008789,0
-0.1700100520397515,-0.1087161687919968,-0.1530233406993947,-0.2131737877585827,-0.1866933095809178,-0.2322680053226806,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.595778942108154,0
-0.1686735380520076,-0.1087880474958584,-0.1530233406993947,-0.2131769736173058,-0.1866933095809178,-0.2321449413607845,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.552853107452393,0
-0.1673534950422767,-0.1088544678728114,-0.1530233406993947,-0.2131785665469227,-0.1866933095809178,-0.2321449413607845,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.296195983886719,0
-0.1659969226802613,-0.1089024822836681,-0.1530233406993947,-0.2131785665469227,-0.1866933095809178,-0.2321449413607845,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.155693531036377,0
-0.1646022150695596,-0.1089554240628105,-0.1530233406993947,-0.2131801594760289,-0.1866933095809178,-0.2321449413607845,-0.2345438373753738,-0.2030460934703842,-0.2531600004437751,-0.1814741011496441,-0.0890021595832631,6.14959192276001,0
-0.1641374211254944,-0.1090261284931532,-0.1530233406993947,-0.2131801594760289,-0.1932973402524917,-0.2321449413607845,-0.244908435234023,-0.2030460934703842,-0.2531600004437751,-0.1820302710495012,-0.0890021595832631,5.287845611572266,0
-0.1638423635322786,-0.1091056132161338,-0.1530233406993947,-0.2131403523354163,-0.1932796350803894,-0.2328812406427217,-0.2442386142918362,-0.2030460934703842,-0.2531600004437751,-0.1820302710495012,-0.0890021595832631,3.648982048034668,0
