model,MAE,RMSE,R2,OOB_Score
DummyRegressor,1052.017646073573,2478.8684872045733,-0.0003459417096425,
LinearRegression,99.44522650611778,251.52557822187632,0.9897007036725296,
RandomForest,26.163520240388955,128.49674292222704,0.9973120110405332,
XGBoost,34.804849950769324,158.19991394616972,0.9959256744497416,
RandomForest_depth_5,77.827994949031,231.38796718602796,0.991283848246908,0.992811248832234
RandomForest_depth_10,28.83400437939572,128.15399761866817,0.9973263315106676,0.9971526586289722
RandomForest_depth_20,26.480794619787236,130.00237639676976,0.9972486501064358,0.9972840656550088
RandomForest_depth_None,26.163520240388955,128.49674292222704,0.9973120110405332,0.997252909601
XGBoost_Modified,33.33057990615546,156.9353885399165,0.9959905480287199,
